condition,seed,round,trial,target,n_words,n_chars,correct,phase,description,audit
baseline,102,3,21,S2,8,42,True,pre_swap,Long horizontal top with a long right leg.,
baseline,102,3,22,S8,8,53,True,pre_swap,"Compact centered shape, wider middle, single dot top.",
baseline,102,3,23,S4,8,44,True,pre_swap,"Long handle, angled top, with a wide middle.",
baseline,102,3,24,S6,7,44,True,pre_swap,Vertical stick figure with a branching tail.,
baseline,102,4,25,S1,5,29,True,pre_swap,Stem with small diagonal top.,
baseline,102,4,26,S6,7,44,True,pre_swap,Vertical stick figure with a branching tail.,
baseline,102,4,27,S3,11,64,True,pre_swap,Horizontal bar with a small peak above and scattered tail below.,
baseline,102,4,28,S7,8,41,True,pre_swap,"Left side column, wide bottom with a gap.",
baseline,102,4,29,S8,8,53,True,pre_swap,"Compact centered shape, wider middle, single dot top.",
baseline,102,4,30,S2,8,42,True,pre_swap,Long horizontal top with a long right leg.,
baseline,102,4,31,S4,8,44,True,pre_swap,"Long handle, angled top, with a wide middle.",
baseline,102,4,32,S5,16,75,True,pre_swap,Left-heavy shape with a wide bottom and a gap on the left side of the base.,
baseline,102,5,33,S1,5,29,True,pre_swap,Stem with small diagonal top.,
baseline,102,5,34,S4,8,44,True,pre_swap,"Long handle, angled top, with a wide middle.",
baseline,102,5,35,S3,11,64,True,pre_swap,Horizontal bar with a small peak above and scattered tail below.,
baseline,102,5,36,S5,16,75,True,pre_swap,Left-heavy shape with a wide bottom and a gap on the left side of the base.,
baseline,102,5,37,S8,8,53,True,pre_swap,"Compact centered shape, wider middle, single dot top.",
baseline,102,5,38,S6,7,44,True,pre_swap,Vertical stick figure with a branching tail.,
baseline,102,5,39,S2,8,42,True,pre_swap,Long horizontal top with a long right leg.,
baseline,102,5,40,S7,8,41,True,pre_swap,"Left side column, wide bottom with a gap.",
baseline,102,6,41,S8,8,53,True,pre_swap,"Compact centered shape, wider middle, single dot top.",
baseline,102,6,42,S5,16,75,True,pre_swap,Left-heavy shape with a wide bottom and a gap on the left side of the base.,
baseline,102,6,43,S1,5,29,True,pre_swap,Stem with small diagonal top.,
baseline,102,6,44,S2,8,42,True,pre_swap,Long horizontal top with a long right leg.,
baseline,102,6,45,S4,8,44,True,pre_swap,"Long handle, angled top, with a wide middle.",
baseline,102,6,46,S3,11,64,True,pre_swap,Horizontal bar with a small peak above and scattered tail below.,
baseline,102,6,47,S6,7,44,True,pre_swap,Vertical stick figure with a branching tail.,
baseline,102,6,48,S7,8,41,True,pre_swap,"Left side column, wide bottom with a gap.",
baseline,102,7,49,S6,13,81,False,post_swap,"Tall, thin, central column with a wider middle and a branching, scattered bottom.",
baseline,102,7,50,S8,15,84,True,post_swap,"Compact, centered, diamond-like shape with a single dot at the top and a small base.",
baseline,102,7,51,S1,12,70,False,post_swap,"Tall, slender, vertical stem with a small diagonal cluster at the top.",
baseline,102,7,52,S7,7,45,False,post_swap,"Left-aligned column with a wide, gapped base.",
baseline,102,7,53,S4,13,74,False,post_swap,"Tall, slender shape with an angled, wider top and a long, straight handle.",
baseline,102,7,54,S5,14,69,True,post_swap,"Left-heavy, jagged shape with a wide base and a gap on the left side.",
baseline,102,7,55,S2,17,89,True,post_swap,"Long horizontal bar at the top, with a long, thin leg extending down from the right side.",
baseline,102,7,56,S3,16,93,True,post_swap,"Horizontal bar in the middle, with a small peak above and a scattered, descending tail below.",
baseline,102,8,57,S8,15,84,True,post_swap,"Compact, centered, diamond-like shape with a single dot at the top and a small base.",
baseline,102,8,58,S2,17,89,True,post_swap,"Long horizontal bar at the top, with a long, thin leg extending down from the right side.",
baseline,102,8,59,S7,7,45,True,post_swap,"Left-aligned column with a wide, gapped base.",
baseline,102,8,60,S5,14,69,True,post_swap,"Left-heavy, jagged shape with a wide base and a gap on the left side.",
baseline,102,8,61,S6,13,81,True,post_swap,"Tall, thin, central column with a wider middle and a branching, scattered bottom.",
baseline,102,8,62,S3,16,93,True,post_swap,"Horizontal bar in the middle, with a small peak above and a scattered, descending tail below.",
baseline,102,8,63,S4,13,74,True,post_swap,"Tall, slender shape with an angled, wider top and a long, straight handle.",
baseline,102,8,64,S1,12,70,True,post_swap,"Tall, slender, vertical stem with a small diagonal cluster at the top.",
baseline,103,1,1,S2,7,38,False,pre_swap,Horizontal bar with a thin line below.,
baseline,103,1,2,S6,6,33,False,pre_swap,Zigzag with a long vertical line.,
baseline,103,1,3,S5,7,35,True,pre_swap,"Left side, with a thick bottom bar.",
baseline,103,1,4,S8,6,29,False,pre_swap,Bulky top with a narrow base.,
baseline,103,1,5,S1,6,35,False,pre_swap,"Tree-like, with a long, thin trunk.",
baseline,103,1,6,S3,7,44,True,pre_swap,"Complex figure, wide top bar, narrow middle.",
baseline,103,1,7,S4,6,34,False,pre_swap,Leaning figure with a wide middle.,
baseline,103,1,8,S7,7,39,True,pre_swap,Main vertical line with a thick bottom.,
baseline,103,2,9,S7,7,39,False,pre_swap,Main vertical line with a thick bottom.,
baseline,103,2,10,S3,7,49,False,pre_swap,Wide horizontal bar with multiple vertical lines.,
baseline,103,2,11,S1,7,39,True,pre_swap,"Tall, thin trunk, with branches on top.",
baseline,103,2,12,S8,6,31,False,pre_swap,"Bulky top, narrowing to a base.",
baseline,103,2,13,S4,6,39,False,pre_swap,"Leaning figure, wide middle, thin base.",
baseline,103,2,14,S6,8,45,True,pre_swap,"Zigzag line on left, scattered dots on right.",
baseline,103,2,15,S2,9,46,True,pre_swap,"Horizontal bar on top, with a thin line below.",
baseline,103,2,16,S5,7,35,True,pre_swap,"Left side, with a thick bottom bar.",
baseline,103,3,17,S8,6,40,False,pre_swap,"Mushroom shape, wide top, tapering down.",
baseline,103,3,18,S1,7,39,True,pre_swap,"Tall, thin trunk, with branches on top.",
baseline,103,3,19,S7,9,47,False,pre_swap,"Vertical line on left, with a thick bottom bar.",
baseline,103,3,20,S4,6,39,False,pre_swap,"Leaning figure, wide middle, thin base.",
baseline,103,3,21,S2,9,46,True,pre_swap,"Horizontal bar on top, with a thin line below.",
baseline,103,3,22,S3,6,41,True,pre_swap,"Wide horizontal bar, with vertical lines.",
baseline,103,3,23,S6,8,45,True,pre_swap,"Zigzag line on left, scattered dots on right.",
baseline,103,3,24,S5,7,35,True,pre_swap,"Left side, with a thick bottom bar.",
baseline,103,4,25,S7,16,78,True,pre_swap,"Vertical line on left, with a thick bottom bar, and a single dot on the right.",
baseline,103,4,26,S6,8,45,True,pre_swap,"Zigzag line on left, scattered dots on right.",
baseline,103,4,27,S8,6,40,False,pre_swap,"Mushroom shape, wide top, tapering down.",
baseline,103,4,28,S5,7,35,True,pre_swap,"Left side, with a thick bottom bar.",
baseline,103,4,29,S1,7,39,True,pre_swap,"Tall, thin trunk, with branches on top.",
baseline,103,4,30,S3,6,41,True,pre_swap,"Wide horizontal bar, with vertical lines.",
baseline,103,4,31,S4,6,39,True,pre_swap,"Leaning figure, wide middle, thin base.",
baseline,103,4,32,S2,9,46,True,pre_swap,"Horizontal bar on top, with a thin line below.",
baseline,103,5,33,S2,9,46,True,pre_swap,"Horizontal bar on top, with a thin line below.",
baseline,103,5,34,S1,7,39,True,pre_swap,"Tall, thin trunk, with branches on top.",
baseline,103,5,35,S5,7,35,True,pre_swap,"Left side, with a thick bottom bar.",
baseline,103,5,36,S3,6,41,True,pre_swap,"Wide horizontal bar, with vertical lines.",
baseline,103,5,37,S8,11,80,True,pre_swap,"Mushroom shape, wide top, tapering down.Mushroom shape, wide top, tapering down.",
baseline,103,5,38,S6,8,45,True,pre_swap,"Zigzag line on left, scattered dots on right.",
baseline,103,5,39,S4,6,39,False,pre_swap,"Leaning figure, wide middle, thin base.",
baseline,103,5,40,S7,16,78,True,pre_swap,"Vertical line on left, with a thick bottom bar, and a single dot on the right.",
baseline,103,6,41,S7,16,78,True,pre_swap,"Vertical line on left, with a thick bottom bar, and a single dot on the right.",
baseline,103,6,42,S3,6,41,True,pre_swap,"Wide horizontal bar, with vertical lines.",
baseline,103,6,43,S1,7,39,True,pre_swap,"Tall, thin trunk, with branches on top.",
baseline,103,6,44,S8,6,40,True,pre_swap,"Mushroom shape, wide top, tapering down.",
baseline,103,6,45,S6,8,45,True,pre_swap,"Zigzag line on left, scattered dots on right.",
baseline,103,6,46,S2,9,46,True,pre_swap,"Horizontal bar on top, with a thin line below.",
baseline,103,6,47,S5,7,35,True,pre_swap,"Left side, with a thick bottom bar.",
baseline,103,6,48,S4,6,39,True,pre_swap,"Leaning figure, wide middle, thin base.",
baseline,103,7,49,S4,10,58,False,post_swap,"Leaning figure, wider in the middle, narrow at the bottom.",
baseline,103,7,50,S6,8,45,True,post_swap,"Zigzag line on left, scattered dots on right.",
baseline,103,7,51,S5,7,35,True,post_swap,"Left side, with a thick bottom bar.",
baseline,103,7,52,S8,6,40,False,post_swap,"Mushroom shape, wide top, tapering down.",
baseline,103,7,53,S2,9,46,False,post_swap,"Horizontal bar on top, with a thin line below.",
baseline,103,7,54,S7,16,78,True,post_swap,"Vertical line on left, with a thick bottom bar, and a single dot on the right.",
baseline,103,7,55,S3,6,41,False,post_swap,"Wide horizontal bar, with vertical lines.",
baseline,103,7,56,S1,7,39,True,post_swap,"Tall, thin trunk, with branches on top.",
baseline,103,8,57,S5,11,61,True,post_swap,"Left side, with a thick bottom bar, and scattered dots above.",
baseline,103,8,58,S6,8,45,True,post_swap,"Zigzag line on left, scattered dots on right.",
baseline,103,8,59,S4,10,58,False,post_swap,"Leaning figure, wider in the middle, narrow at the bottom.",
baseline,103,8,60,S1,7,39,True,post_swap,"Tall, thin trunk, with branches on top.",
baseline,103,8,61,S7,16,78,True,post_swap,"Vertical line on left, with a thick bottom bar, and a single dot on the right.",
baseline,103,8,62,S2,9,46,False,post_swap,"Horizontal bar on top, with a thin line below.",
baseline,103,8,63,S3,6,41,False,post_swap,"Wide horizontal bar, with vertical lines.",
baseline,103,8,64,S8,6,40,False,post_swap,"Mushroom shape, wide top, tapering down.",
covert,201,1,1,S1,5,25,True,pre_swap,Head with long thin body.,
covert,201,1,2,S2,7,39,True,pre_swap,"Wide broken top bar, thin column below.",
covert,201,1,3,S6,3,21,True,pre_swap,Jagged vertical line.,
covert,201,1,4,S7,6,43,True,pre_swap,"Blocky top, vertical body, horizontal base.",
covert,201,1,5,S4,6,33,False,pre_swap,"Thin top, wide middle, thin base.",
covert,201,1,6,S3,8,53,False,pre_swap,"Horizontal bar in middle, scattered top, broken base.",
covert,201,1,7,S5,10,57,True,pre_swap,"Blocky left top, thin body, wide base, short broken tail.",
covert,201,1,8,S8,5,35,True,pre_swap,Small diamond-like shape in center.,
covert,201,2,9,S4,6,33,False,pre_swap,"Tall thin shape, wider in middle.",
covert,201,2,10,S5,10,57,True,pre_swap,"Blocky left top, thin body, wide base, short broken tail.",
covert,201,2,11,S6,3,21,True,pre_swap,Jagged thin vertical.,
covert,201,2,12,S7,6,43,True,pre_swap,"Blocky top, vertical body, horizontal base.",
covert,201,2,13,S2,5,29,True,pre_swap,"Wide broken top, thin column.",
covert,201,2,14,S8,4,24,True,pre_swap,Small diamond in center.,
covert,201,2,15,S3,6,43,True,pre_swap,"Horizontal bar, scattered top, broken base.",
covert,201,2,16,S1,5,25,True,pre_swap,Head with long thin body.,
covert,201,3,17,S2,5,29,True,pre_swap,"Wide broken top, thin column.",
covert,201,3,18,S6,3,21,True,pre_swap,Jagged thin vertical.,
covert,201,3,19,S1,5,25,True,pre_swap,Head with long thin body.,
covert,201,3,20,S4,12,62,False,pre_swap,"Tall thin shape, wider in middle, with a small top and bottom.",
covert,201,3,21,S7,6,43,True,pre_swap,"Blocky top, vertical body, horizontal base.",
covert,201,3,22,S3,6,43,False,pre_swap,"Horizontal bar, scattered top, broken base.",
covert,201,3,23,S8,4,24,True,pre_swap,Small diamond in center.,
covert,201,3,24,S5,10,57,True,pre_swap,"Blocky left top, thin body, wide base, short broken tail.",
covert,201,4,25,S7,6,43,True,pre_swap,"Blocky top, vertical body, horizontal base.",
covert,201,4,26,S3,13,80,False,pre_swap,"Horizontal bar, scattered top, broken base. This is the ""T-shape"" with a ""tail"".",
covert,201,4,27,S5,17,94,True,pre_swap,"Blocky left top, thin body, wide base, short broken tail. This is the ""L-shape"" with a ""tail"".",
covert,201,4,28,S1,10,53,True,pre_swap,"Head with long thin body. This is the ""stick figure"".",
covert,201,4,29,S6,8,51,True,pre_swap,"Jagged thin vertical. This is the ""lightning bolt"".",
covert,201,4,30,S2,10,53,True,pre_swap,"Wide broken top, thin column. This is the ""broken H"".",
covert,201,4,31,S8,9,47,True,pre_swap,"Small diamond in center. This is the ""bow tie"".",
covert,201,4,32,S4,18,94,True,pre_swap,"Tall thin shape, wider in middle, with a small top and bottom. This is the ""pole"" or ""candle"".",
covert,201,5,33,S2,10,53,True,pre_swap,"Wide broken top, thin column. This is the ""broken H"".",
covert,201,5,34,S1,10,53,True,pre_swap,"Head with long thin body. This is the ""stick figure"".",
covert,201,5,35,S6,8,51,True,pre_swap,"Jagged thin vertical. This is the ""lightning bolt"".",
covert,201,5,36,S8,9,47,True,pre_swap,"Small diamond in center. This is the ""bow tie"".",
covert,201,5,37,S5,17,94,True,pre_swap,"Blocky left top, thin body, wide base, short broken tail. This is the ""L-shape"" with a ""tail"".",
covert,201,5,38,S7,10,66,True,pre_swap,"Blocky top, vertical body, horizontal base. This is the ""E-shape"".",
covert,201,5,39,S4,18,94,True,pre_swap,"Tall thin shape, wider in middle, with a small top and bottom. This is the ""pole"" or ""candle"".",
covert,201,5,40,S3,20,114,True,pre_swap,"Horizontal bar, scattered top, broken base, with a diagonal top. This is the ""T-shape"" with a ""tail"" and a ""head"".",
covert,201,6,41,S7,10,66,True,pre_swap,"Blocky top, vertical body, horizontal base. This is the ""E-shape"".",
covert,201,6,42,S8,9,47,True,pre_swap,"Small diamond in center. This is the ""bow tie"".",
covert,201,6,43,S2,10,53,True,pre_swap,"Wide broken top, thin column. This is the ""broken H"".",
covert,201,6,44,S4,18,94,True,pre_swap,"Tall thin shape, wider in middle, with a small top and bottom. This is the ""pole"" or ""candle"".",
covert,201,6,45,S3,20,114,True,pre_swap,"Horizontal bar, scattered top, broken base, with a diagonal top. This is the ""T-shape"" with a ""tail"" and a ""head"".",
covert,201,6,46,S6,8,51,True,pre_swap,"Jagged thin vertical. This is the ""lightning bolt"".",
covert,201,6,47,S5,17,94,True,pre_swap,"Blocky left top, thin body, wide base, short broken tail. This is the ""L-shape"" with a ""tail"".",
covert,201,6,48,S1,10,53,True,pre_swap,"Head with long thin body. This is the ""stick figure"".",
covert,201,7,49,S3,20,114,False,post_swap,"Horizontal bar, scattered top, broken base, with a diagonal top. This is the ""T-shape"" with a ""tail"" and a ""head"".",
covert,201,7,50,S5,17,94,False,post_swap,"Blocky left top, thin body, wide base, short broken tail. This is the ""L-shape"" with a ""tail"".",
covert,201,7,51,S8,9,47,False,post_swap,"Small diamond in center. This is the ""bow tie"".",
covert,201,7,52,S1,10,53,True,post_swap,"Head with long thin body. This is the ""stick figure"".",
covert,201,7,53,S2,10,53,True,post_swap,"Wide broken top, thin column. This is the ""broken H"".",
covert,201,7,54,S4,18,94,True,post_swap,"Tall thin shape, wider in middle, with a small top and bottom. This is the ""pole"" or ""candle"".",
covert,201,7,55,S7,10,66,True,post_swap,"Blocky top, vertical body, horizontal base. This is the ""E-shape"".",
covert,201,7,56,S6,8,51,True,post_swap,"Jagged thin vertical. This is the ""lightning bolt"".",
covert,201,8,57,S5,27,136,False,post_swap,"Blocky left top, thin body, wide base, short broken tail. This is the ""L-shape"" with a ""tail"". It has a very solid left side at the top.",
covert,201,8,58,S6,13,73,True,post_swap,"Jagged thin vertical, like a lightning bolt. It has a diagonal top right.",
covert,201,8,59,S4,18,94,True,post_swap,"Tall thin shape, wider in middle, with a small top and bottom. This is the ""pole"" or ""candle"".",
covert,201,8,60,S2,18,89,True,post_swap,"Wide broken top, thin column. This is the ""broken H"". The top is wide and has two breaks.",
covert,201,8,61,S3,29,162,False,post_swap,"Horizontal bar, scattered top, broken base, with a diagonal top. This is the ""T-shape"" with a ""tail"" and a ""head"". It has a distinct horizontal bar in the middle.",
covert,201,8,62,S8,21,107,True,post_swap,"Small diamond in center. This is the ""bow tie"". It is the only shape that is almost entirely in the middle.",
covert,201,8,63,S7,19,112,False,post_swap,"Blocky top, vertical body, horizontal base. This is the ""E-shape"". It has a clear horizontal line at the bottom.",
covert,201,8,64,S1,26,124,True,post_swap,"Head with long thin body. This is the ""stick figure"". It has a distinct head at the top and a single thin column for a body.",
covert,202,1,1,S5,5,33,True,pre_swap,Anchor with long horizontal base.,
covert,202,1,2,S2,6,32,True,pre_swap,Wide top bar with vertical stem.,
covert,202,1,3,S3,4,18,False,pre_swap,Hat over wide bar.,
covert,202,1,4,S8,6,35,True,pre_swap,Hourglass with top and bottom wide.,
covert,202,1,5,S6,5,32,True,pre_swap,"Tall shape, many diagonal lines.",
covert,202,1,6,S7,4,27,False,pre_swap,C-shape with internal dots.,
covert,202,1,7,S4,4,24,False,pre_swap,Tree-like with cone top.,
covert,202,1,8,S1,6,32,True,pre_swap,Tall thin shape with small head.,
covert,202,2,9,S7,5,35,True,pre_swap,"C-shape, solid base, internal dots.",
covert,202,2,10,S5,4,22,True,pre_swap,Anchor with wide base.,
covert,202,2,11,S3,6,33,True,pre_swap,"Spiky top, wide middle bar, tail.",
covert,202,2,12,S1,4,21,True,pre_swap,"Tall thin, small top.",
covert,202,2,13,S6,6,40,True,pre_swap,"Tall, many diagonal lines, varied width.",
covert,202,2,14,S4,4,22,False,pre_swap,"Cone top, short trunk.",
covert,202,2,15,S2,5,24,True,pre_swap,"Wide top bar, long stem.",
covert,202,2,16,S8,6,38,True,pre_swap,"Hourglass, wide top and bottom, short.",
covert,202,3,17,S8,5,31,True,pre_swap,"Hourglass, wide top and bottom.",
covert,202,3,18,S5,4,23,True,pre_swap,"Anchor, very wide base.",
covert,202,3,19,S6,5,34,True,pre_swap,"Tall, very diagonal, varied width.",
covert,202,3,20,S7,6,39,True,pre_swap,"C-shape with internal dots, solid base.",
covert,202,3,21,S3,6,34,True,pre_swap,"Spiky top, wide middle, thin tail.",
covert,202,3,22,S4,5,31,True,pre_swap,"Cone top, short straight trunk.",
covert,202,3,23,S1,6,39,True,pre_swap,"Tall thin, small head, slightly offset.",
covert,202,3,24,S2,6,33,True,pre_swap,"Wide top bar, long vertical stem.",
covert,202,4,25,S1,5,29,True,pre_swap,"Tall thin, small offset head.",
covert,202,4,26,S5,6,35,True,pre_swap,"Anchor, wide base, jagged top left.",
covert,202,4,27,S4,7,45,True,pre_swap,"Cone top, short straight trunk, thick middle.",
covert,202,4,28,S8,2,16,True,pre_swap,Hourglass shape.,
covert,202,4,29,S6,6,43,True,pre_swap,"Tall, very diagonal, varied width, complex.",
covert,202,4,30,S3,8,47,True,pre_swap,"Spiky top, wide middle bar, thin tail, s-curve.",
covert,202,4,31,S2,8,43,True,pre_swap,"Wide top bar, long stem, two internal dots.",
covert,202,4,32,S7,5,35,True,pre_swap,"C-shape, internal dots, solid base.",
covert,202,5,33,S1,6,39,True,pre_swap,"Tall thin, small offset head, tapering.",
covert,202,5,34,S8,5,32,True,pre_swap,"Hourglass, wider top and bottom.",
covert,202,5,35,S2,10,57,True,pre_swap,"Wide top bar, long stem, two internal dots, bottom right.",
covert,202,5,36,S3,10,62,True,pre_swap,"Spiky top, wide middle bar, thin tail, s-curve, distinct dots.",
covert,202,5,37,S6,8,57,True,pre_swap,"Tall, very diagonal, varied width, complex, bottom right.",
covert,202,5,38,S5,8,47,True,pre_swap,"Anchor, wide base, jagged top left, thin shaft.",
covert,202,5,39,S4,8,52,True,pre_swap,"Cone top, short straight trunk, thick middle, solid.",
covert,202,5,40,S7,7,45,True,pre_swap,"C-shape, internal dots, solid base, open top.",
covert,202,6,41,S8,1,10,True,pre_swap,Hourglass.,
covert,202,6,42,S2,12,68,True,pre_swap,"Wide top bar, long stem, two internal dots, bottom right. Solid top.",
covert,202,6,43,S3,13,84,True,pre_swap,"Spiky top, wide middle bar, thin tail, s-curve, distinct dots. Single vertical line.",
covert,202,6,44,S4,10,70,True,pre_swap,"Cone top, short straight trunk, thick middle, solid. Very symmetrical.",
covert,202,6,45,S5,11,66,True,pre_swap,"Anchor, wide base, jagged top left, thin shaft, distinct top left.",
covert,202,6,46,S7,8,51,True,pre_swap,"C-shape, internal dots, solid base, open left side.",
covert,202,6,47,S1,8,56,True,pre_swap,"Tall thin, small offset head, tapering, almost vertical.",
covert,202,6,48,S6,9,62,True,pre_swap,"Tall, very diagonal, varied width, complex, jagged right side.",
covert,202,7,49,S1,7,45,True,post_swap,"Tall thin, small offset head, triangular top.",
covert,202,7,50,S4,10,70,True,post_swap,"Cone top, short straight trunk, thick middle, solid. Perfect symmetry.",
covert,202,7,51,S3,13,84,True,post_swap,"Spiky top, wide middle bar, thin tail, s-curve, distinct dots. Vertical line bottom.",
covert,202,7,52,S8,6,39,True,post_swap,"Hourglass, wider top and bottom, short.",
covert,202,7,53,S2,13,72,True,post_swap,"Wide top bar, long stem, two internal dots, bottom right. Solid top bar.",
